Geometric Altitude (m),Geopotential Altitude (m),Temperature (K),Pressure (N/m^2),Density (kg/m^3),Sound of Speed (m/sec)
0,0,288.15,1.01E+05,1.23E+00,340.29
2000,1999,275.154,7.95E+04,1.01E+00,332.53
4000,3997,262.166,6.17E+04,8.19E-01,324.59
6000,5994,249.187,4.72E+04,6.60E-01,316.45
8000,7990,236.215,3.57E+04,5.26E-01,308.11
10000,9984,223.252,2.65E+04,4.14E-01,299.53
12000,11977,216.65,1.94E+04,3.12E-01,295.07
14000,13969,216.65,1.42E+04,2.28E-01,295.07
16000,15960,216.65,1.04E+04,1.66E-01,295.07
18000,17949,216.65,7.57E+03,1.22E-01,295.07
20000,19937,216.65,5.53E+03,8.89E-02,295.07
22000,21924,218.574,4.05E+03,6.45E-02,296.38
24000,23910,220.56,2.97E+03,4.69E-02,297.72
26000,25894,222.544,2.19E+03,3.43E-02,299.06
28000,27877,224.527,1.62E+03,2.51E-02,300.39
30000,29859,226.509,1.20E+03,1.84E-02,301.71
32000,31840,228.49,8.89E+02,1.36E-02,303.02
34000,33819,233.744,6.63E+02,9.89E-03,306.49
36000,35797,239.282,4.99E+02,7.26E-03,310.1
38000,37774,244.818,3.77E+02,5.37E-03,313.67
40000,39750,250.35,2.87E+02,4.00E-03,317.19
42000,41724,255.878,2.20E+02,2.99E-03,320.67
44000,43698,261.403,1.70E+02,2.26E-03,324.12
46000,45670,266.925,1.31E+02,1.71E-03,327.52
48000,47640,270.65,1.02E+02,1.32E-03,329.8
50000,49610,270.65,7.98E+01,1.03E-03,329.8
52000,51578,270.65,6.22E+01,8.01E-04,329.8
54000,53545,267.56,4.85E+01,6.31E-04,327.91
56000,55511,263.628,3.77E+01,4.98E-04,325.49
58000,57476,259.699,2.91E+01,3.91E-04,323.06
60000,59439,255.772,2.25E+01,3.06E-04,320.61
62000,61401,251.045,1.72E+01,2.39E-04,317.63
64000,63362,243.202,1.32E+01,1.88E-04,312.63
66000,65322,235.363,9.94E+00,1.47E-04,307.55
68000,67280,227.529,7.44E+00,1.14E-04,302.29
70000,69238,219.7,5.52E+00,8.75E-05,297.14
